TID,Team Name,Manager,Rider,Points
20487,Pedaling Squares,John,Pogačar,0
20487,Pedaling Squares,John,Van Der Poel,0
20487,Pedaling Squares,John,Matthews,0
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
61971,Marss,Simis,Pedersen,0
61971,Marss,Simis,Jorgenson,0
61971,Marss,Simis,Van Der Hoorn,0
61971,Marss,Simis,Swift,0
61971,Marss,Simis,Wellens,0
61971,Marss,Simis,Pithie,0
62321,Peaky blunders,Manuel,Van Aert,0
62321,Peaky blunders,Manuel,Milan,0
62321,Peaky blunders,Manuel,Merlier,0
62321,Peaky blunders,Manuel,Walscheid,0
62321,Peaky blunders,Manuel,Bruttomesso,0
62321,Peaky blunders,Manuel,Lozouet,0
74628,Spin Cycle,Dane,Pedersen,0
74628,Spin Cycle,Dane,Van Aert,0
74628,Spin Cycle,Dane,Jorgenson,0
74628,Spin Cycle,Dane,Van Dijke,0
74628,Spin Cycle,Dane,Vandevelde,0
74628,Spin Cycle,Dane,Declercq,0
96535,Nice For Watts,Rihards,Kristoff,0
96535,Nice For Watts,Rihards,Milan,0
96535,Nice For Watts,Rihards,Philipsen,0
96535,Nice For Watts,Rihards,Berckmoes,0
96535,Nice For Watts,Rihards,Fretin,0
96535,Nice For Watts,Rihards,Skaarseth,0
61967,Boonens on cocaine,Juraj,Merlier,0
61967,Boonens on cocaine,Juraj,Milan,0
61967,Boonens on cocaine,Juraj,Philipsen,0
61967,Boonens on cocaine,Juraj,Ballerini,0
61967,Boonens on cocaine,Juraj,Russo,0
61967,Boonens on cocaine,Juraj,Mihkels,0
61998,Combattant du Nord,Rogier,Politt,0
61998,Combattant du Nord,Rogier,Tarling,0
61998,Combattant du Nord,Rogier,Jorgenson,0
61998,Combattant du Nord,Rogier,Sheffield,0
61998,Combattant du Nord,Rogier,Stuyven,0
61998,Combattant du Nord,Rogier,Eekhoff,0
63016,Short term glory,Jon,Pedersen,0
63016,Short term glory,Jon,Wellens,0
63016,Short term glory,Jon,Philipsen,0
63016,Short term glory,Jon,Tarling,0
63016,Short term glory,Jon,Del Grosso,0
63016,Short term glory,Jon,Pedersen,0
96467,Buba Rače | Lease a Pate,Inga,Pedersen,0
96467,Buba Rače | Lease a Pate,Inga,Abrahamsen,0
96467,Buba Rače | Lease a Pate,Inga,Merlier,0
96467,Buba Rače | Lease a Pate,Inga,Milan,0
96467,Buba Rače | Lease a Pate,Inga,Skaarseth,0
96467,Buba Rače | Lease a Pate,Inga,Ermakov,0
96890,Turn Down for Wout,Carson,Milan,0
96890,Turn Down for Wout,Carson,Pedersen,0
96890,Turn Down for Wout,Carson,Philipsen,0
96890,Turn Down for Wout,Carson,Tarling,0
96890,Turn Down for Wout,Carson,Pedersen,0
96890,Turn Down for Wout,Carson,Naberman,0
